x,f(x)
-5.000000,64.846815
-4.900000,433.450310
-4.800000,12247.223562
-4.700000,44615130.896396
-4.600000,10088.485323
-4.500000,1237.763640
-4.400000,414.469040
-4.300000,211.681499
-4.200000,135.720773
-4.100000,100.279467
-4.000000,82.057958
-3.900000,73.334471
-3.800000,71.974870
-3.700000,79.551289
-3.600000,104.002149
-3.500000,174.844641
-3.400000,438.007736
-3.300000,2277.793154
-3.200000,96936.677201
-3.100000,307682.144103
-3.000000,1859.697681
-2.900000,169.485593
-2.800000,29.971385
-2.700000,6.811240
-2.600000,1.828901
-2.500000,0.743338
-2.400000,0.748567
-2.300000,1.674195
-2.200000,4.856330
-2.100000,14.413854
-2.000000,43.247318
-1.900000,141.789244
-1.800000,602.351952
-1.700000,5239.779791
-1.600000,1533202.144572
-1.500000,28490.660211
-1.400000,414.641491
-1.300000,18.455025
-1.200000,0.020339
-1.100000,1.713042
-1.000000,3.688735
-0.900000,5.146989
-0.800000,6.760564
-0.700000,9.449239
-0.600000,14.911421
-0.500000,27.527562
-0.400000,61.680053
-0.300000,180.539780
-0.200000,835.894948
-0.100000,11850.624613
-0.000000,NaN
0.100000,0.180072
0.200000,0.531300
0.300000,13.771474
0.400000,-0.835180
0.500000,-0.426114
0.600000,-0.273301
0.700000,-0.180521
0.800000,-0.110609
0.900000,-0.051915
1.000000,0.000000
1.100000,0.046906
1.200000,0.089451
1.300000,0.127808
1.400000,0.161990
1.500000,0.192001
1.600000,0.217907
1.700000,0.239862
1.800000,0.258099
1.900000,0.272916
2.000000,0.284649
2.100000,0.293650
2.200000,0.300271
2.300000,0.304846
2.400000,0.307687
2.500000,0.309072
2.600000,0.309251
2.700000,0.308439
2.800000,0.306823
2.900000,0.304562
3.000000,0.301790
3.100000,0.298620
3.200000,0.295145
3.300000,0.291443
3.400000,0.287579
3.500000,0.283604
3.600000,0.279562
3.700000,0.275487
3.800000,0.271408
3.900000,0.267347
4.000000,0.263322
4.100000,0.259348
4.200000,0.255434
4.300000,0.251590
4.400000,0.247822
4.500000,0.244133
4.600000,0.240529
4.700000,0.237009
4.800000,0.233576
4.900000,0.230229
5.000000,0.226969
